userId,tmdbIds
332,"[963, 20565, 9388, 21450, 5176, 205596, 10218, 629, 104, 567, 10548, 14, 244, 396, 26317, 91551, 598, 389, 981, 9377]"
528,"[13252, 510, 1779, 963, 1480, 10218, 10315, 238, 11562, 96721, 20343, 3078, 289, 642, 1422, 947, 1640, 14275, 239, 850]"
292,"[10218, 625, 235, 488, 762, 654, 2179, 103, 30197, 13252, 666, 1422, 5176, 963, 85, 11828, 42459, 872, 14160, 9008]"
9,"[963, 826, 666, 1124, 20565, 205596, 10191, 14, 629, 10218, 903, 510, 9388, 872, 550, 9905, 129, 389, 343, 12405]"
620,"[9388, 963, 424, 666, 85, 104, 1779, 826, 7211, 488, 25471, 14275, 10548, 10218, 1480, 30197, 903, 346, 278, 223]"
505,"[5176, 625, 592, 240, 3082, 488, 389, 157336, 40205, 11072, 629, 11368, 32513, 13252, 9388, 185, 963, 52013, 666, 1891]"
235,"[21450, 872, 838, 26317, 666, 11828, 1779, 11216, 11368, 10683, 9388, 11645, 335, 829, 3090, 1422, 122, 510, 23325, 10613]"
119,"[10218, 20565, 197033, 11219, 194, 246741, 10613, 1491, 57447, 592, 9388, 11645, 11841, 101, 205596, 85, 75490, 11368, 11828, 996]"
184,"[654, 335, 240, 11562, 2493, 666, 311, 30197, 1779, 492, 10548, 963, 598, 10835, 488, 223, 8424, 246741, 13252, 829]"
278,"[510, 424, 947, 625, 3078, 11216, 488, 903, 104, 238, 18420, 5176, 17539, 640, 13252, 642, 1585, 9388, 57447, 7211]"
664,"[963, 10218, 104, 246741, 826, 10315, 625, 28, 500, 335, 11645, 240, 4935, 10331, 289, 488, 9430, 31713, 838, 567]"
294,"[205596, 396, 4347, 1779, 11368, 21450, 194, 680, 42459, 6521, 20283, 1908, 14160, 10548, 16219, 19994, 110, 510, 9029, 10218]"
309,"[488, 3078, 963, 424, 10795, 1779, 104, 21450, 11562, 829, 13252, 213, 10315, 9388, 311, 10548, 11216, 17661, 205596, 30197]"
491,"[567, 20565, 963, 101, 10613, 592, 850, 11216, 829, 42459, 107, 824, 53190, 424, 872, 205596, 9388, 100, 3078, 14160]"
73,"[872, 1779, 20565, 10548, 23325, 826, 3078, 903, 488, 11562, 11645, 30197, 11216, 31713, 11878, 7211, 14580, 981, 42459, 21575]"
234,"[10515, 11368, 629, 13252, 205596, 1407, 1491, 666, 2179, 963, 431, 20283, 1245, 7211, 335, 104, 20565, 436, 500, 850]"
198,"[903, 429, 629, 567, 191903, 510, 872, 13252, 654, 603, 21450, 14285, 17539, 489, 10331, 968, 1779, 5176, 23928, 10315]"
508,"[826, 963, 289, 13252, 666, 10548, 185, 11828, 625, 26317, 155, 981, 424, 11645, 1578, 5176, 100, 11562, 396, 510]"
15,"[21450, 872, 389, 36492, 213, 10549, 488, 7326, 1372, 80070, 2118, 16858, 11828, 21868, 246741, 5176, 13783, 274, 17168, 4012]"
102,"[666, 205596, 191903, 11828, 96721, 13252, 246741, 240, 308027, 10322, 9008, 10331, 20343, 17168, 10613, 8321, 185, 1580, 213, 10795]"
624,"[891, 826, 11645, 654, 10218, 829, 389, 198277, 104, 4480, 10613, 1902, 872, 278, 625, 935, 120, 11368, 279, 777]"
181,"[11645, 289, 963, 311, 9388, 104, 625, 1640, 21450, 10193, 3078, 1422, 221, 16219, 15992, 14275, 13252, 903, 103, 1245]"
