userId,tmdbIds
1,"[9354, 1779, 10849, 11010, 9442, 23954, 12626, 2028, 881, 10403, 3121, 18183, 637, 3033, 4518, 12560, 9798, 9487, 244, 910]"
2,"[8428, 43742, 558, 1895, 2756, 3034, 2323, 814, 24913, 6114, 154, 168, 10603, 9715, 35680, 13597, 87, 15144, 34584, 10303]"
3,"[1653, 14181, 11004, 16, 398, 338, 11566, 796, 71, 2293, 621, 10314, 8835, 334, 824, 1900, 1429, 650, 10220, 2657]"
4,"[146, 453, 949, 705, 3083, 6878, 272, 1578, 422, 7863, 9404, 8874, 845, 3121, 100, 16520, 25232, 3035, 104, 332]"
5,"[1909, 8321, 9571, 1371, 559, 4771, 9693, 1164, 470, 582, 1788, 9058, 11777, 186, 9560, 713, 11114, 10525, 1830, 1262]"
6,"[807, 197, 680, 13, 329, 274, 3090, 783, 12311, 746, 967, 955, 608, 58, 155, 497, 1726, 10681, 2503, 625]"
7,"[752, 9684, 107, 533, 8619, 73, 10549, 77, 473, 16448, 10409, 11639, 673, 935, 604, 1895, 1894, 429, 24, 9473]"
8,"[12158, 9090, 9058, 2788, 18658, 6075, 9066, 1257, 9454, 18331, 10663, 1641, 11355, 9963, 8873, 2655, 10276, 9889, 44807, 8835]"
9,"[26564, 1024, 16771, 34444, 15765, 10467, 935, 426, 272, 15764, 10161, 387, 9322, 10322, 9522, 2928, 10806, 17589, 13697, 8856]"
10,"[47908, 24452, 9737, 11318, 34152, 24257, 11592, 23210, 11446, 17600, 32562, 32513, 9303, 15, 261, 18203, 42314, 11386, 9504, 18129]"
11,"[63, 451, 568, 1572, 628, 5503, 581, 279, 5925, 75612, 8844, 140607, 710, 9273, 8012, 902, 9598, 9603, 577, 11448]"
12,"[36557, 809, 673, 558, 2502, 747, 1895, 239, 599, 3085, 272, 18129, 10404, 910, 8077, 16320, 563, 196, 4638, 11639]"
13,"[9294, 45317, 36557, 10954, 1372, 16453, 10112, 747, 68718, 953, 70160, 16320, 1266, 9913, 1878, 4638, 1844, 2275, 8960, 10154]"
14,"[34584, 10303, 1648, 766, 54825, 2291, 9357, 10468, 5683, 698, 9663, 8843, 2609, 13597, 492, 9428, 8009, 578, 154, 861]"
15,"[35196, 97406, 8447, 10452, 10497, 25440, 2088, 12520, 33344, 12488, 1580, 21734, 17887, 10988, 11700, 9610, 37903, 34653, 174787, 222935]"
16,"[9519, 13898, 15098, 1253, 21488, 13636, 24679, 2087, 4105, 244268, 10135, 12610, 21055, 1090, 228194, 44321, 96936, 27958, 1376, 49184]"
17,"[659, 36040, 10692, 12185, 11541, 8321, 71883, 11592, 9066, 33245, 14694, 31417, 9716, 124676, 10174, 18080, 10806, 9844, 33680, 11587]"
18,"[10149, 11318, 26748, 2501, 180, 110, 11382, 11010, 18183, 2255, 522, 524, 101, 713, 2292, 629, 278, 2649, 68, 319]"
19,"[136, 25010, 10242, 28257, 31442, 5879, 896, 747, 33245, 9675, 16131, 31102, 662, 638, 10982, 678, 11319, 24197, 14443, 660]"
20,"[9660, 31357, 40894, 1024, 47504, 1245, 892, 8545, 9840, 24584, 676, 29912, 43232, 8696, 18283, 1976, 473, 11639, 2428, 9826]"
21,"[3035, 2074, 27768, 747, 11229, 14285, 145, 68924, 19, 11234, 670, 1985, 93, 11694, 8363, 296, 25010, 128, 14886, 16448]"
