userId,imdbIds
1,"[97523, 98213, 89853, 83798, 94226, 92699, 98258, 105629, 104257, 105151, 73440, 80678, 120660, 24216, 120324, 96928, 107507, 78346, 139414, 54331]"
2,"[100436, 88128, 110391, 109484, 89370, 126886, 121164, 100802, 162661, 105488, 106308, 91203, 97576, 116695, 119116, 91369, 88247, 87800, 77631, 101921]"
3,"[162346, 245712, 101507, 318462, 301357, 181984, 217869, 203009, 120789, 119738, 181865, 66921, 286106, 307901, 265666, 116695, 119396, 111149, 120735, 118799]"
4,"[113862, 116683, 117333, 107131, 54357, 70707, 104036, 81375, 99703, 81398, 82096, 79522, 50212, 56801, 116704, 119360, 118798, 99487, 120735, 133093]"
5,"[107822, 76538, 92890, 449467, 452623, 432348, 206634, 887883, 87277, 373074, 399295, 113097, 110598, 462538, 89370, 91419, 112722, 22111, 116260, 114663]"
6,"[114369, 110912, 109830, 133093, 54331, 139654, 95016, 440963, 40897, 87553, 286106, 119217, 26752, 93389, 371746, 120815, 114709, 48545, 381061, 1375666]"
7,"[120586, 138704, 89218, 121766, 121765, 83791, 120903, 118114, 137523, 114814, 88846, 109445, 172495, 78788, 105236, 93870, 240772, 68646, 167260, 120737]"
8,"[110950, 109443, 111732, 112572, 34583, 87363, 48280, 90305, 120484, 160862, 141098, 105812, 107050, 89791, 206275, 1136608, 256380, 311289, 285823, 425112]"
9,"[101969, 209144, 109508, 374900, 89017, 91326, 129290, 151804, 107756, 108149, 86393, 131325, 311113, 34583, 405422, 372784, 84707, 66921, 104454, 468569]"
10,"[90203, 54033, 90756, 70016, 218553, 234215, 266543, 126604, 110428, 120877, 69089, 109504, 118564, 91738, 111127, 111252, 112651, 82766, 65214, 65207]"
11,"[113627, 114746, 114369, 112384, 110148, 111503, 106977, 99348, 71853, 86879, 57115, 1483013, 1392190, 113189, 113161, 425112, 75314, 396592, 112864, 110857]"
12,"[71315, 116367, 304141, 316654, 365748, 317705, 53291, 37008, 372784, 88247, 88794, 92991, 119116, 120591, 87363, 89218, 83791, 120812, 120484, 97958]"
13,"[310793, 236493, 221027, 209163, 146316, 416449, 477348, 974661, 137494, 389860, 65421, 144214, 429493, 1136608, 365748, 1853728, 795421, 277434, 364569, 1270798]"
