tmdbId,tmdbIds
862,"[863, 137, 11, 105, 808, 602, 585, 12, 9806, 603, 122, 745, 607, 329, 1891, 680, 8587, 85, 121, 89, 278, 9487, 22, 13, 120, 274, 557, 9802, 63, 275, 252, 601, 788, 161, 197, 1892, 218, 568, 857, 812, 2493, 280, 2502, 98, 954, 5503, 640, 664, 8844, 9377]"
8844,"[788, 8587, 812, 862, 854, 329, 771, 6950, 568, 858, 3049, 1637, 2164, 37233, 710, 95, 664, 414, 10329, 11310, 9739, 8467, 9331, 13, 9804, 9487, 10020, 114, 11395, 2064, 8839, 11969, 251, 274, 10731, 280, 602, 1572, 197, 10530, 268, 137, 9802, 9386, 5503, 1642, 408, 11000, 9350, 36955]"
15602,"[9294, 9302, 9268, 2320, 9879, 9304, 9327, 19042, 8866, 11860, 9802, 602, 9091, 9623, 11511, 10534, 11862, 11448, 10478, 9208, 12559, 8987, 8840, 9826, 34170, 10874, 10546, 252, 954, 199, 10990, 11000, 664, 10539, 1645, 9255, 9057, 25059, 9894, 2925, 9614, 10987, 36355, 862, 26141, 178, 9359, 19378, 2300, 9417]"
31357,"[45325, 26391, 32325, 14429, 22586, 47939, 47867, 39310, 48287, 59930, 43634, 43488, 32146, 17949, 18041, 19324, 19357, 17465, 35614, 9039, 15992, 34341, 9623, 9099, 11690, 31504, 11065, 8986, 10571, 1957, 10269, 11236, 42580, 21915, 10341, 11858, 10847, 23618, 25166, 27281, 13225, 10530, 60276, 11517, 9067, 12772, 9516, 12280, 31642, 11114]"
11862,"[9101, 9268, 8866, 2320, 9304, 15602, 9879, 20927, 36355, 9302, 10478, 9623, 1645, 9536, 9091, 9802, 9294, 9208, 114, 11472, 11860, 9390, 3595, 2054, 11777, 954, 11310, 11846, 20242, 12154, 252, 9327, 251, 13595, 819, 664, 2064, 8987, 2069, 788, 12278, 11062, 11000, 1592, 11674, 397, 9826, 306, 712, 1637]"
949,"[275, 524, 9802, 451, 63, 9268, 602, 184, 9208, 629, 103, 2320, 9390, 680, 954, 664, 522, 280, 101, 627, 807, 568, 252, 982, 6977, 562, 3595, 319, 241, 11, 134, 238, 755, 9894, 862, 5503, 38, 712, 8866, 2292, 10478, 600, 240, 8840, 231, 9303, 137, 769, 274, 1813]"
11860,"[9294, 8866, 9268, 9304, 2320, 10478, 15602, 10660, 2925, 10684, 22586, 25189, 11448, 4584, 9802, 8840, 11000, 43742, 6620, 10464, 6435, 9327, 8356, 38223, 9715, 252, 664, 16052, 10586, 20735, 10545, 11557, 11566, 32611, 1049, 9623, 2769, 88, 7300, 9208, 1968, 2058, 858, 11888, 9091, 1645, 409, 6068, 10990, 11862]"
45325,"[47939, 47867, 48287, 9407, 31357, 22586, 10847, 9623, 150823, 18041, 67307, 40962, 318, 17494, 10651, 34014, 38617, 29185, 19118, 2779, 5922, 81442, 31603, 41357, 14475, 35614, 14807, 40814, 53426, 6393, 42048, 20712, 49370, 26895, 13571, 9039, 15992, 12647, 17496, 5917, 26560, 19114, 85058, 25113, 34341, 96966, 14664, 84735, 32077, 45840]"
9091,"[2320, 25059, 9268, 9623, 11867, 9826, 12121, 9304, 15602, 9057, 9879, 10858, 9294, 8860, 9208, 36355, 2925, 9536, 19042, 11862, 8840, 11062, 10173, 11860, 9802, 9894, 20927, 10547, 12110, 21539, 26141, 2019, 954, 10478, 10535, 9302, 8987, 33542, 10988, 10635, 3595, 9560, 10990, 8866, 10802, 602, 13203, 9691, 47939]"
710,"[414, 1572, 9331, 36955, 9350, 268, 280, 9804, 6950, 3049, 329, 1637, 2064, 2164, 114, 5503, 37233, 680, 771, 193, 8587, 13, 581, 628, 854, 812, 568, 274, 8963, 788, 9739, 251, 8467, 807, 197, 11395, 1642, 664, 8844, 10020, 562, 9386, 714, 95, 2758, 9603, 712, 744, 602, 241]"
9087,"[858, 4584, 11777, 397, 2064, 11566, 36955, 10525, 10731, 114, 712, 11450, 251, 9390, 9587, 788, 5503, 1637, 9603, 8012, 268, 16297, 623, 771, 37233, 11113, 9441, 568, 2054, 509, 329, 17443, 639, 306, 9800, 1572, 9772, 954, 9386, 207, 9350, 378, 9277, 581, 13, 8587, 864, 1245, 279, 9359]"
12110,"[7978, 19042, 9826, 11867, 11525, 36355, 124676, 17198, 4965, 11676, 76176, 42658, 65994, 23750, 8852, 23319, 14694, 8944, 21182, 13150, 14164, 17332, 34769, 198306, 38199, 198308, 76180, 23759, 198391, 48171, 27582, 49517, 60935, 228028, 2300, 9101, 10061, 25059, 10535, 18094, 18162, 29427, 49494, 9091, 38722, 10988, 9312, 9306, 194113, 9879]"
21032,"[25438, 32911, 282848, 18862, 10349, 47941, 40772, 24103, 18519, 23069, 21185, 17832, 9073, 18462, 20242, 34760, 20096, 12499, 2625, 24405, 3587, 197537, 14785, 25723, 18890, 9400, 20701, 27022, 228161, 20457, 9543, 11133, 38575, 17414, 10489, 91217, 24808, 33644, 18282, 16084, 18937, 13700, 43752, 11451, 13925, 9794, 15854, 19840, 40724, 43517]"
10858,"[14112, 9504, 11062, 11145, 34053, 36834, 19429, 20565, 24750, 26522, 25636, 12635, 11191, 20637, 18129, 20649, 28501, 10531, 1645, 13697, 26890, 695, 32047, 40842, 11364, 1713, 14108, 11448, 11816, 39437, 113279, 10868, 32488, 993, 37920, 15665, 11450, 23210, 23333, 451, 10102, 2251, 56235, 23908, 11313, 1245, 18913, 29146, 33377, 21027]"
1408,"[26389, 57201, 37707, 5174, 9271, 11283, 2086, 18550, 440, 35233, 2162, 10756, 10762, 168705, 10947, 14113, 9954, 9992, 11199, 2267, 7183, 9785, 2269, 14043, 4858, 2274, 54318, 8090, 8676, 11260, 13279, 13387, 14248, 10596, 13944, 2309, 14536, 20856, 19585, 16873, 23398, 23023, 34806, 41216, 23047, 50321, 50359, 43935, 56832, 72545]"
524,"[949, 10223, 4518, 769, 184, 275, 2667, 9390, 11368, 1597, 680, 807, 103, 14, 801, 2293, 177, 9559, 2978, 10537, 1573, 755, 948, 1893, 2668, 8872, 238, 241, 1598, 117, 9008, 114, 500, 137, 451, 242, 10326, 544, 100, 1700, 793, 941, 2108, 9571, 9740, 1051, 9013, 8358, 364, 1359]"
4584,"[9087, 7863, 2054, 17015, 9390, 858, 713, 18183, 2064, 22625, 11860, 8866, 688, 10990, 712, 9208, 25189, 11971, 16633, 409, 10612, 275, 687, 424, 10445, 11448, 2320, 1245, 9598, 2925, 10525, 7984, 14291, 1645, 252, 3525, 164, 1770, 10731, 9090, 9587, 10436, 9427, 13850, 11000, 16388, 8874, 10409, 11566, 602]"
5,"[110147, 5172, 38722, 9458, 25557, 8447, 12138, 9445, 79593, 15477, 47502, 46063, 35645, 108176, 1966, 9879, 10871, 9607, 9407, 9786, 13158, 40001, 13997, 9099, 2058, 29756, 10543, 15665, 58770, 104301, 11313, 24750, 12628, 38153, 18913, 16241, 8067, 8866, 49803, 12143, 44326, 27303, 4923, 35196, 10987, 172545, 9424, 36094, 11258, 9491]"
9273,"[3049, 8467, 788, 1572, 854, 13203, 9032, 628, 772, 197, 771, 8587, 816, 9255, 306, 9804, 114, 9739, 11472, 13, 9603, 10663, 858, 817, 105, 329, 268, 37233, 8005, 2105, 9386, 10731, 9495, 710, 2770, 251, 9472, 954, 280, 9598, 218, 3512, 1637, 9087, 562, 137, 36955, 807, 2164, 296]"
11517,"[137093, 109439, 252838, 29355, 6951, 26261, 11066, 9099, 8850, 33689, 31638, 144953, 29076, 43109, 18828, 44412, 23685, 10646, 24113, 11950, 26044, 30502, 9085, 39002, 9683, 13766, 12705, 15120, 12770, 9260, 31646, 9699, 66918, 12661, 15259, 15462, 37662, 113739, 8446, 6723, 16969, 1825, 11821, 28586, 13505, 11217, 10544, 48385, 32303]"
8012,"[623, 36955, 568, 241, 712, 5503, 11969, 114, 9800, 37233, 378, 858, 1669, 9087, 11450, 1572, 9603, 629, 788, 244, 28, 9359, 117, 319, 275, 2064, 680, 642, 522, 9331, 268, 11566, 581, 531, 137, 1389, 9434, 812, 1945, 251, 639, 713, 288, 807, 8963, 2107, 9598, 2293, 2657, 2639]"
1710,"[11929, 26203, 2086, 17402, 161495, 18402, 19760, 9061, 91217, 17207, 1572, 2088, 17182, 11863, 11980, 10449, 9909, 9400, 19855, 8984, 867, 9626, 49803, 10635, 9386, 16297, 47608, 18395, 27303, 397, 9331, 8973, 11381, 10731, 9559, 2636, 20096, 581, 9802, 3512, 11066, 3036, 10510, 18862, 10349, 47941, 53113, 24103, 41590, 32911]"
9691,"[9057, 26141, 867, 2636, 12121, 44465, 6071, 44968, 17729, 8984, 10424, 3586, 9061, 18395, 2019, 22067, 28121, 150823, 8043, 67307, 40962, 318, 17494, 10651, 34014, 38617, 29185, 19118, 2779, 5922, 81442, 31603, 41357, 14475, 14807, 40814, 53426, 6393, 42048, 20712, 49370, 26895, 13571, 12647, 17496, 5917, 26560, 19114, 85058, 25113]"
12665,"[4421, 13794, 10982, 14728, 11283, 10674, 4978, 10206, 39953, 21056, 80070, 19797, 41756, 53027, 15850, 17614, 15708, 58467, 31526, 259389, 31962, 5187, 18998, 14208, 32444, 17483, 15728, 80198, 15179, 30548, 39517, 14205, 27902, 117629, 71208, 84290, 23431, 87380, 69746, 15359, 99367, 212721, 25541, 12242, 237791, 54325, 20377, 244063, 39041, 34766]"
451,"[687, 275, 949, 63, 629, 10149, 10858, 11382, 18183, 11450, 279, 18129, 14275, 829, 568, 524, 26748, 252, 238, 278, 664, 769, 9598, 9802, 424, 2292, 713, 2118, 522, 23210, 1587, 695, 10443, 103, 1024, 1934, 409, 680, 11448, 577, 10478, 11318, 602, 807, 378, 2255, 1900, 8866, 11561, 1592]"
16420,"[22777, 65157, 47070, 14906, 46929, 20343, 11649, 17203, 26573, 47045, 45864, 27273, 20678, 16690, 15482, 11243, 19975, 17132, 22233, 10735, 2263, 14411, 33521, 9616, 10619, 19064, 10407, 12708, 10028, 52036, 27465, 9838, 31112, 22682, 28476, 16559, 21386, 15788, 18973, 43358, 12763, 11024, 9095, 26879, 19366, 13764, 12658, 57825, 16112, 11523]"
