userId,recommended_movieIds
1,"[3072, 260, 2959, 913, 912, 1304, 28, 1183, 1196, 36527, 1721, 838, 326, 3142, 2890, 1358, 3181, 1393, 2571, 904]"
2,"[16, 34, 40, 555, 608, 111, 198, 230, 780, 281, 303, 307, 318, 345, 265, 293, 6, 315, 1, 11]"
3,"[6016, 3462, 161, 99114, 39, 858, 253, 47, 266, 122882, 44555, 4878, 55721, 3005, 106100, 3147, 153, 4993, 48516, 2571]"
4,"[2085, 50, 2132, 111, 4226, 8360, 176, 177, 6323, 188, 6350, 4306, 2278, 235, 33004, 4343, 246, 6405, 4467, 2460]"
5,"[1028, 55820, 2580, 50, 1079, 68157, 3147, 3160, 2137, 1625, 3175, 1136, 628, 46723, 2707, 4246, 44195, 1704, 1197, 1204]"
6,"[6669, 527, 541, 26151, 50, 1079, 1080, 2109, 3671, 30810, 1136, 6807, 1196, 1219, 1240, 2791, 1258, 745, 1257, 750]"
7,"[1541, 25, 1060, 1573, 3114, 1584, 1639, 111, 1173, 1217, 714, 4306, 1245, 223, 1254, 2291, 2804, 4886, 1303, 5952]"
8,"[551, 50, 68157, 1090, 111, 4235, 48780, 1208, 1234, 1252, 1270, 1276, 5995, 912, 8622, 4027, 7147, 3949, 293, 1214]"
9,"[3072, 2087, 58, 3142, 1610, 594, 2670, 111, 2683, 1172, 2716, 1694, 1196, 1198, 2759, 1233, 3793, 1240, 1247, 2321]"
10,"[62336, 5378, 33794, 89864, 1274, 6539, 2959, 48394, 79132, 541, 106782, 44191, 57504, 26662, 293, 31658, 112556, 3000, 314, 7099]"
11,"[48780, 58559, 4878, 2858, 318, 3911, 5995, 924, 109487, 441, 1196, 260, 46578, 858, 32, 47, 68157, 1120, 27773, 1682]"
12,"[2571, 1090, 3181, 2167, 3706, 2683, 2692, 1173, 2712, 3255, 1208, 3262, 1221, 2762, 4308, 1244, 1255, 1258, 6380, 2318]"
13,"[1214, 2324, 76093, 5444, 68954, 4995, 59784, 91529, 81834, 60069, 7153, 2028, 69122, 44555, 1036, 30749, 116797, 1090, 26693, 4226]"
14,"[6539, 2959, 919, 1954, 1197, 1198, 1199, 50, 1221, 329, 589, 3578, 318, 58559, 2571, 4896, 5952, 1099, 588, 104]"
15,"[3508, 4103, 6269, 198, 6375, 2288, 281, 4396, 2384, 8542, 2488, 31193, 2524, 4688, 593, 599, 2673, 671, 45728, 4799]"
16,"[2826, 25, 1183, 2344, 47, 1719, 2759, 73, 1611, 2762, 2912, 608, 4973, 2926, 2683, 858, 6016, 6539, 79132, 109487]"
17,"[2068, 21, 2138, 123, 2176, 4235, 156, 198, 2288, 2291, 4349, 290, 2351, 2384, 2488, 4616, 2585, 599, 2673, 2731]"
18,"[661, 26, 1183, 1059, 1061, 58, 839, 1356, 1367, 613, 112, 1393, 631, 65, 104, 1073, 135, 1047, 1049, 799]"
19,"[17, 41, 2208, 205, 2300, 296, 2359, 319, 373, 446, 475, 539, 2599, 635, 2716, 2804, 766, 2932, 2935, 893]"
20,"[50, 1196, 1223, 8961, 266, 2329, 47, 442, 474, 745, 377, 1042, 3578, 1321, 5952, 7153, 434, 110, 589, 349]"
21,"[515, 1354, 14, 16, 53, 111, 162, 194, 224, 230, 232, 262, 268, 299, 307, 308, 326, 342, 465, 497]"
22,"[1136, 1, 6, 54286, 3617, 51255, 1090, 45722, 1197, 58559, 7361, 112852, 1240, 2268, 741, 6377, 27882, 1261, 750, 3869]"
23,"[8197, 41, 47152, 71755, 2130, 2137, 4190, 32898, 6283, 4246, 116897, 2261, 4326, 3306, 2300, 2318, 2330, 8477, 2359, 1283]"
24,"[266, 527, 50, 153, 318, 502, 593, 253, 454, 349, 4874, 25, 32, 428, 300, 1073, 4161, 457, 475, 2409]"
25,"[1183, 728, 1393, 1357, 25, 1, 5, 140, 785, 18, 36, 805, 41, 745, 628, 376, 86, 733, 95, 788]"
26,"[6, 608, 111, 53956, 49957, 9010, 5995, 56367, 1732, 4878, 1089, 1042, 4973, 527, 16, 5137, 44555, 25, 1589, 6711]"
27,"[2959, 2692, 904, 1673, 1046, 24, 79132, 32, 1961, 1201, 441, 3897, 2360, 3006, 318, 58559, 1219, 3911, 1354, 1997]"
28,"[1230, 2573, 2064, 2076, 555, 50, 3634, 1077, 1594, 589, 2131, 2132, 1649, 3702, 1148, 3196, 1178, 162, 678, 1193]"
29,"[7438, 79132, 29, 32, 296, 1193, 1201, 318, 1089, 1214, 858, 6874, 5995, 4848, 260, 2959, 1196, 50, 1221, 2858]"
30,"[2804, 2068, 2132, 2137, 2186, 6299, 231, 2312, 2318, 2351, 307, 306, 308, 2361, 2459, 2474, 2952, 922, 599, 4688]"
31,"[1090, 64614, 4226, 6787, 1201, 112852, 1252, 745, 79132, 912, 109487, 50, 1196, 47, 44555, 2067, 30749, 1095, 3147, 595]"
32,"[527, 47, 318, 588, 780, 529, 153, 539, 32, 58, 587, 466, 596, 497, 246, 292, 329, 34, 1, 368]"
33,"[2076, 111, 2186, 2240, 246, 2312, 2352, 308, 318, 6539, 2580, 608, 2739, 2791, 2801, 2863, 2917, 2973, 1032, 1131]"
34,"[2102, 4306, 2303, 272, 2336, 2396, 2467, 2501, 2660, 728, 745, 750, 4993, 905, 910, 2973, 926, 2984, 942, 2997]"
35,"[260, 3844, 778, 527, 2959, 17, 1172, 150, 28, 1183, 36, 1958, 4011, 1196, 300, 40629, 1721, 4921, 457, 858]"
36,"[6, 1035, 1041, 30, 585, 595, 81, 111, 633, 156, 1199, 178, 230, 745, 766, 260, 1357, 538, 1148, 296]"
37,"[593, 2324, 2080, 1569, 36, 2599, 39, 1094, 2125, 3160, 3210, 1674, 1199, 1721, 1221, 1222, 1223, 2248, 2762, 728]"
38,"[67087, 543, 51255, 36931, 27724, 3156, 1625, 64614, 73321, 44665, 69757, 1175, 71838, 31410, 1203, 4299, 3809, 52458, 8957, 68358]"
39,"[50, 230, 235, 356, 543, 32, 34, 553, 608, 111, 141, 144, 161, 178, 222, 224, 241, 260, 318, 377]"
40,"[2571, 54286, 2596, 1580, 2115, 589, 608, 2657, 64614, 2193, 1172, 1704, 8874, 1200, 8368, 1210, 1220, 3793, 1234, 2791]"
41,"[2268, 2302, 589, 1393, 1, 16, 4128, 2087, 39, 2094, 26712, 4226, 4239, 4270, 193, 39183, 4367, 2329, 2334, 2336]"
42,"[541, 26662, 5690, 64614, 57504, 1200, 1234, 65261, 1274, 89864, 293, 364, 62336, 31658, 3000, 7099, 4226, 109487, 122882, 122892]"
43,"[3072, 2571, 2575, 1584, 1590, 1089, 1097, 3174, 3176, 111, 3186, 2692, 2712, 1701, 1198, 1213, 1729, 2762, 785, 2324]"
44,"[11, 12, 673, 805, 296, 41, 85, 86, 376, 36, 708, 1356, 7, 647, 10, 140, 694, 1210, 191, 832]"
45,"[16, 36, 2599, 50, 2116, 1093, 1617, 3210, 58559, 1219, 1223, 1244, 3811, 1252, 1259, 5876, 1289, 5902, 2858, 858]"
