userId,tmdbIds
1,"[21849, 8391, 880, 391698, 775, 48787, 34574, 140420, 11980, 52856, 27303, 28313, 30304, 41647, 11596, 40480, 11853, 8223, 52873, 97989]"
2,"[47449, 11860, 45325, 34615, 49133, 10534, 30157, 6715, 17961, 11008, 159185, 8766, 38884, 10543, 1970, 14553, 31546, 36266, 213, 284]"
3,"[68735, 45317, 902, 11010, 48750, 13685, 10874, 10149, 35588, 695, 26408, 18414, 176, 866, 31546, 20871, 11360, 10938, 623, 947]"
4,"[20967, 11331, 65889, 17133, 10785, 34760, 37557, 8391, 49133, 48750, 51352, 30157, 48787, 34574, 52856, 28313, 159185, 31439, 8223, 52873]"
5,"[49026, 14784, 55, 45325, 31174, 51352, 10741, 5894, 140420, 10531, 72113, 8981, 18414, 9323, 10280, 8424, 284, 177572, 20871, 10680]"
6,"[10451, 15060, 12222, 14342, 12889, 12133, 16023, 12277, 13253, 7214, 9620, 13223, 10858, 48750, 880, 15730, 11546, 50797, 18183, 8981]"
7,"[49133, 47504, 38884, 36266, 9305, 37557, 10534, 14069, 38722, 31439, 31642, 21450, 20967, 8766, 47449, 41852, 922, 32513, 26890, 15730]"
8,"[8816, 2277, 15762, 13435, 99861, 31174, 10949, 5894, 10149, 19101, 8981, 11236, 26408, 15060, 8424, 3078, 10938, 4480, 10161]"
9,"[21032, 9071, 20967, 26531, 81310, 31225, 4485, 9444, 34106, 53565, 11837, 845, 14785, 11787, 177, 1883, 10784, 2043, 9576, 37557]"
10,"[31439, 11216, 10705, 11178, 18161, 68735, 902, 10949, 14069, 14334, 9905, 18414, 11902, 10547, 31546, 10907, 3083, 488, 310131, 9078]"
11,"[34615, 31174, 48750, 8447, 10149, 11929, 11593, 12106, 31439, 21450, 18671, 18414, 83186, 31546, 3078, 3085, 158990, 88, 4483, 318846]"
12,"[18785, 22915, 13704, 12405, 1262, 10949, 31439, 387893, 11171, 436, 31642, 21450, 259389, 44264, 20967, 26408, 117629, 30548, 32513, 26890]"
13,"[11544, 37557, 11860, 902, 9623, 10534, 13193, 10149, 50797, 4954, 10451, 10525, 9061, 17961, 11318, 38722, 527, 159185, 14334, 10436]"
14,"[17015, 9058, 14334, 10156, 13795, 10590, 10712, 20453, 50797, 26391, 11971, 228150, 32562, 8766, 1970, 1677, 3078, 1251, 599, 10907]"
15,"[36266, 18603, 21849, 67307, 19118, 24249, 8391, 49133, 48750, 391698, 48787, 34574, 140420, 27303, 47504, 28313, 159185, 40480, 8223]"
16,"[31439, 9264, 2039, 18161, 1636, 40807, 46785, 10874, 10149, 10525, 30304, 12527, 9472, 9571, 26408, 18414, 3065, 15060, 31546, 963]"
17,"[13783, 21032, 48750, 63076, 391698, 51352, 159185, 13073, 41852, 97989, 83186, 36266, 11985, 18299, 11331, 74239, 147538, 1696, 65889, 30020]"
18,"[45325, 11859, 30157, 15730, 11008, 10497, 401, 922, 1599, 26890, 14553, 20318, 164, 567, 963, 630, 488, 42314, 521, 11216]"
19,"[49133, 5961, 851, 29251, 4486, 4484, 3022, 41277, 43004, 18499, 29589, 7862, 55207, 27030, 21032, 15730, 52856, 10897, 47449, 41852]"
20,"[44264, 128, 13377, 45612, 12780, 11839, 44115, 46785, 9061, 106646, 30304, 152601, 10997, 15765, 10445, 11446, 8766, 922, 26890, 28288]"
21,"[18299, 11296, 102899, 49133, 10534, 51352, 14069, 52856, 19101, 38722, 34152, 31642, 228150, 44264, 38884, 41852, 32513, 26890, 36266, 20318]"
22,"[4480, 4481, 696, 2841, 13373, 13222, 6646, 23033, 11194, 47168, 12310, 41498, 31174, 14069, 140420, 11980, 8766, 15060, 8618, 8424]"
23,"[29376, 29251, 21032, 49133, 48750, 391698, 51352, 17447, 52856, 14819, 159185, 41852, 97989, 83186, 36266, 18299, 23114, 85328, 56830]"
24,"[24447, 31546, 2501, 194662, 82693, 210577, 16420, 11859, 103, 77, 10531, 594, 35588, 1271, 10502, 100, 21450, 19042, 11902, 11324]"
25,"[864, 10218, 982, 1366, 10419, 9314, 668, 45325, 51352, 9344, 52856, 9382, 10531, 9061, 11008, 38722, 14334, 31439, 11381, 9472]"
26,"[5894, 140420, 10149, 72113, 8981, 16453, 70670, 83186, 8424, 158990, 10938, 4480, 4481, 335, 144, 539, 145, 13365, 26594, 50754]"
27,"[9298, 11010, 10874, 10149, 22625, 12527, 31439, 18414, 11902, 27768, 10547, 31546, 963, 10907, 10938, 4480, 975, 311, 696, 8816]"
28,"[34106, 9343, 34760, 21128, 15867, 35976, 4985, 21032, 49133, 48750, 63076, 51352, 52856, 19101, 30304, 159185, 8321, 8981, 11939, 41647]"
29,"[451, 308369, 333371, 48750, 8447, 13685, 5894, 13193, 140420, 10149, 11017, 55615, 72113, 80, 228150, 10445, 695, 408, 20120, 9100]"
